                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94627,                0.74659,                0.96099,                0.68888,                0.60622,                0.66255,                0.47599,                0.95136,                0.70706,                0.93173,             0.00022228,             0.00022228,             0.00022228
                      2,                 0.9402,                0.72972,                0.95836,                0.69735,                0.66581,                0.70054,                0.50654,                 0.9467,                0.65966,                0.93045,             0.00022453,             0.00022453,             0.00022453
